URL,Course,Degree,University,Tuition Fee,City,Country,Duration
https://www.bachelorsportal.com/studies/303339/aerospace-engineering-with-pilot-studies-undergraduate-foundation-programme.html?ref=search_card,Aerospace Engineering with Pilot Studies - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,858,390 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/103830/bachelor-of-applied-science.html?ref=search_card,Bachelor of Applied Science (Architectural Science),Bachelor,Curtin University,"3,997,244 NPR / year",Perth,Australia,3 years
https://www.bachelorsportal.com/studies/473356/visual-communication-and-strategic-branding.html?ref=search_card,Visual Communication And Strategic Branding,Bachelor,Manipal Academy of Higher Education,"1,829,558 NPR / year",Manipal,India,4 years
https://www.bachelorsportal.com/studies/474547/respiratory-therapy.html?ref=search_card,Respiratory Therapy,Bachelor,Manipal Academy of Higher Education,"734,059 NPR / year",Manipal,India,4 years
https://www.bachelorsportal.com/studies/421886/sports-coaching-and-development-undergraduate-foundation-programme.html?ref=search_card,Sports Coaching and Development - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,858,390 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/489776/undergraduate-foundation-programme-life-sciences.html?ref=search_card,Undergraduate Foundation Programme - Life Sciences,Bachelor,"Goldsmiths, University of London","4,533,016 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/426969/management-with-international-business-undergraduate-foundation-programme.html?ref=search_card,Management with International Business - Undergraduate Foundation Programme,Bachelor,Royal Holloway University of London,"4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/103134/geography.html?ref=search_card,Geography,Bachelor,University of Canterbury,"2,973,024 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/491746/medicine-and-surgery-medicine-undergraduate-foundation-programme.html?ref=search_card,Medicine and Surgery - Medicine Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"5,710,654 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/421908/football-studies-undergraduate-foundation-programme.html?ref=search_card,Football Studies - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,858,390 NPR / full",Preston,United Kingdom,9 months
